Date,NVDA,Nasdaq,AMD,META,GOOGL,TSLA,GOOG,MSFT,AMZN,AAPL,INTC,AVGO
2023-01-03,14.304594039916992,10386.98046875,64.0199966430664,124.26531219482422,88.79810333251953,108.0999984741211,89.37885284423828,236.1835174560547,85.81999969482422,123.76846313476562,25.775142669677734,53.39712142944336
2023-01-04,14.738279342651367,10458.759765625,64.66000366210938,126.88530731201172,87.76185607910156,113.63999938964844,88.39240264892578,225.85208129882812,85.13999938964844,125.0450439453125,26.69120979309082,54.049285888671875
2023-01-05,14.254632949829102,10305.240234375,62.33000183105469,126.45693969726562,85.88864135742188,110.33999633789062,86.45933532714844,219.15834045410156,83.12000274658203,123.71897888183594,26.57549476623535,53.545684814453125
2023-01-06,14.848198890686035,10569.2900390625,63.959999084472656,129.5252227783203,87.02452087402344,113.05999755859375,87.8443603515625,221.74119567871094,86.08000183105469,128.2711181640625,27.70370101928711,56.768924713134766
2023-01-09,15.6166410446167,10635.650390625,67.23999786376953,128.97732543945312,87.70206451416016,119.7699966430664,88.48207092285156,223.90016174316406,87.36000061035156,128.7955780029297,28.262981414794922,55.655601501464844
2023-01-10,15.89743709564209,10742.6298828125,68.05000305175781,132.48391723632812,88.10062408447266,118.8499984741211,88.92050170898438,225.60562133789062,89.87000274658203,129.3695526123047,28.38833999633789,55.466514587402344
2023-01-11,15.989368438720703,10931.669921875,69.05999755859375,132.38430786132812,91.18942260742188,123.22000122070312,91.92969512939453,232.42755126953125,95.08999633789062,132.10084533691406,28.783693313598633,55.77619552612305
2023-01-12,16.499000549316406,11001.099609375,70.80000305175781,136.1897735595703,90.80083465576172,123.55999755859375,91.58094024658203,235.12867736816406,95.2699966430664,132.02166748046875,29.207977294921875,56.142799377441406
2023-01-13,16.88671875,11079.16015625,71.0,136.45872497558594,91.78726196289062,122.4000015258789,92.46775817871094,235.83848571777344,98.12000274658203,133.3576202392578,29.034404754638672,55.859161376953125
2023-01-17,17.689136505126953,11095.1103515625,71.58999633789062,134.84490966796875,90.96025848388672,131.49000549316406,91.83004760742188,236.94259643554688,96.05000305175781,134.52532958984375,28.54262351989746,55.88231658935547
2023-01-18,17.36437225341797,10957.009765625,70.52999877929688,132.5137939453125,90.79087829589844,128.77999877929688,91.45140838623047,232.46697998046875,95.45999908447266,133.80294799804688,27.78084373474121,55.40476989746094
2023-01-19,16.75281524658203,10852.26953125,67.70999908447266,135.6318817138672,92.71391296386719,127.16999816894531,93.57378387451172,228.6419677734375,93.68000030517578,133.86233520507812,27.40477752685547,54.336788177490234
2023-01-20,17.826038360595703,11140.4296875,70.06999969482422,138.8396453857422,97.66594696044922,133.4199981689453,98.924560546875,236.814453125,97.25,136.4352569580078,28.176197052001953,55.066139221191406
2023-01-23,19.17905044555664,11364.41015625,76.52999877929688,142.7248077392578,99.4295654296875,143.75,100.84764099121094,239.1409912109375,97.5199966430664,139.64154052734375,29.188690185546875,56.11288833618164
2023-01-24,19.250995635986328,11334.26953125,74.69999694824219,142.5952911376953,97.34710693359375,143.88999938964844,98.85480499267578,238.60862731933594,96.31999969482422,141.04676818847656,28.851192474365234,56.44091033935547
2023-01-25,19.3089542388916,11313.3603515625,74.91000366210938,140.96153259277344,94.87606811523438,144.42999267578125,96.3836898803711,237.1989288330078,97.18000030517578,140.38372802734375,28.639053344726562,56.50362014770508
2023-01-26,19.787607192993164,11512.41015625,75.16000366210938,146.7394561767578,97.16775512695312,160.27000427246094,98.80498504638672,244.484130859375,99.22000122070312,142.46188354492188,29.015119552612305,57.74814987182617
2023-01-27,20.35019874572754,11621.7099609375,75.4000015258789,151.16258239746094,99.0110855102539,177.89999389648438,100.34943389892578,244.64187622070312,102.23999786376953,144.411376953125,27.154064178466797,57.01589584350586
2023-01-30,19.148075103759766,11393.8095703125,72.44999694824219,146.50038146972656,96.58985900878906,166.66000366210938,97.59931182861328,239.26914978027344,100.55000305175781,141.51187133789062,26.95156478881836,56.09553146362305
2023-01-31,19.522796630859375,11584.5498046875,75.1500015258789,148.40310668945312,98.48298645019531,173.22000122070312,99.51244354248047,244.29685974121094,103.12999725341797,142.78843688964844,27.250492095947266,56.43898391723633
2023-02-01,20.927778244018555,11816.3203125,84.63999938964844,152.5373077392578,100.06725311279297,181.41000366210938,101.06685638427734,249.16680908203125,105.1500015258789,143.9165802001953,28.03155517578125,58.15045166015625
2023-02-02,21.693220138549805,12200.8203125,88.30999755859375,188.05165100097656,107.35083770751953,188.27000427246094,108.41047668457031,260.8487854003906,112.91000366210938,149.25050354003906,29.111547470092773,58.441802978515625
2023-02-03,21.08466148376465,12006.9501953125,86.08999633789062,185.82017517089844,104.40153503417969,189.97999572753906,104.84329223632812,254.6874237060547,103.38999938964844,152.89218139648438,29.23690414428711,57.65553283691406
2023-02-06,21.073671340942383,11887.4501953125,83.68000030517578,185.35195922851562,102.52833557128906,194.75999450683594,103.09954833984375,253.1298065185547,102.18000030517578,150.1510009765625,28.002225875854492,58.01057052612305
2023-02-07,22.156885147094727,12113.7900390625,85.91000366210938,190.89080810546875,107.2511978149414,196.80999755859375,107.6531982421875,263.7668151855469,102.11000061035156,153.04061889648438,28.353595733642578,59.27920913696289
2023-02-08,22.188859939575195,11910.51953125,84.69000244140625,182.73196411132812,99.0110855102539,201.2899932861328,99.64197540283203,262.9486389160156,100.05000305175781,150.3390350341797,27.563013076782227,58.05011749267578
