Date,TSLA,Nasdaq,RIVN,GOOGL,AMZN,GM,F,GOOG,LCID,META,AAPL,NVDA
2020-01-02,28.68400001525879,9092.1904296875,,68.18681335449219,94.90049743652344,35.99974060058594,7.548669815063477,68.12372589111328,,208.981689453125,72.79602813720703,5.972709655761719
2020-01-03,29.534000396728516,9020.76953125,,67.83010864257812,93.74849700927734,34.978878021240234,7.3803887367248535,67.78942108154297,,207.87594604492188,72.08830261230469,5.877111434936523
2020-01-06,30.1026668548584,9071.4697265625,,69.63805389404297,95.14399719238281,34.5166015625,7.3403215408325195,69.46092224121094,,211.79098510742188,72.6627197265625,5.901759147644043
2020-01-07,31.270666122436523,9068.580078125,,69.50354766845703,95.34300231933594,33.852081298828125,7.412443161010742,69.4175796508789,,212.2492218017578,72.32098388671875,5.973208427429199
2020-01-08,32.80933380126953,9129.240234375,,69.99825286865234,94.59850311279297,33.37055206298828,7.412443161010742,69.96461486816406,,214.4010009765625,73.4843521118164,5.984411239624023
2020-01-09,32.089332580566406,9203.4296875,,70.73308563232422,95.05249786376953,33.78466796875,7.420454978942871,70.7373275756836,,217.46929931640625,75.04521942138672,6.050136089324951
2020-01-10,31.876667022705078,9178.8603515625,,71.18993377685547,94.15799713134766,33.37055206298828,7.412443161010742,71.2305679321289,,217.2301788330078,75.21487426757812,6.0824995040893555
2020-01-13,34.990665435791016,9273.9296875,,71.74143981933594,94.56500244140625,33.68836212158203,7.404428482055664,71.70386505126953,,221.0655517578125,76.82179260253906,6.273200988769531
2020-01-14,35.861331939697266,9251.330078125,,71.2711410522461,93.47200012207031,33.852081298828125,7.4444966316223145,71.28785705566406,,218.22637939453125,75.7844467163086,6.156192302703857
2020-01-15,34.56666564941406,9258.7001953125,,71.70008087158203,93.10099792480469,33.852081298828125,7.3643622398376465,71.70236206054688,,220.30844116210938,75.45966339111328,6.113620758056641
2020-01-16,34.232666015625,9357.1298828125,,72.24610900878906,93.89700317382812,34.2373161315918,7.348335266113281,72.32512664794922,,220.92608642578125,76.4049301147461,6.197268962860107
2020-01-17,34.03333282470703,9388.9404296875,,73.70880126953125,93.23600006103516,34.285465240478516,7.3403215408325195,73.7544937133789,,221.294677734375,77.25080871582031,6.205982685089111
2020-01-21,36.47999954223633,9370.8095703125,,73.84481048583984,94.5999984741211,33.698001861572266,7.3803887367248535,73.95427703857422,,220.5973358154297,76.7272720336914,6.1726226806640625
2020-01-22,37.97066879272461,9383.76953125,,73.92550659179688,94.37300109863281,33.62093734741211,7.3403215408325195,74.03150177001953,,220.47779846191406,77.00113677978516,6.2266459465026855
2020-01-23,38.14666748046875,9402.48046875,,73.96636199951172,94.22899627685547,33.5920524597168,7.324294090270996,74.06636810302734,,218.92372131347656,77.37197875976562,6.295108795166016
2020-01-24,37.654666900634766,9314.91015625,,73.04371643066406,93.08200073242188,33.0431022644043,7.212105751037598,73.07294464111328,,217.1106719970703,77.14900207519531,6.23585844039917
2020-01-27,37.201332092285156,9139.3095703125,,71.32793426513672,91.41699981689453,32.17634201049805,7.123958587646484,71.43831634521484,,214.05233764648438,74.8803939819336,5.979931354522705
2020-01-28,37.793331146240234,9269.6796875,,72.2630386352539,92.6624984741211,32.39783477783203,7.188066005706787,72.36798095703125,,216.96121215820312,76.99874114990234,6.173369407653809
2020-01-29,38.732666015625,9275.16015625,,72.5719223022461,92.9000015258789,32.35931396484375,7.220663547515869,72.6703872680664,,222.38050842285156,78.61050415039062,6.1128740310668945
2020-01-30,42.72066879272461,9298.9296875,,72.44985961914062,93.53399658203125,32.09929275512695,7.204364776611328,72.53138732910156,,208.73265075683594,78.49657440185547,6.119595527648926
2020-01-31,43.371334075927734,9150.9404296875,,71.38024139404297,100.43599700927734,32.15707015991211,7.188065052032471,71.45475769042969,,201.1416473388672,75.01612091064453,5.886075019836426
2020-02-03,52.0,9273.400390625,,73.86224365234375,100.20999908447266,32.47488784790039,7.318460464477539,74.03099822998047,,203.41297912597656,74.81012725830078,5.983168125152588
2020-02-04,59.137332916259766,9467.9697265625,,72.00946044921875,102.4834976196289,33.100887298583984,7.481456279754639,72.0944595336914,,209.03150939941406,77.2798843383789,6.152456760406494
2020-02-05,48.97999954223633,9508.6796875,,72.04134368896484,101.99349975585938,33.73651123046875,6.772430419921875,72.15225219726562,,209.31045532226562,77.91004943847656,6.242827892303467
2020-02-06,49.930667877197266,9572.150390625,,73.53194427490234,102.5114974975586,33.0623664855957,6.7235307693481445,73.5472412109375,,210.0476531982422,78.82135772705078,6.329714775085449
2020-02-07,49.871334075927734,9520.509765625,,73.68836975097656,103.96399688720703,32.388214111328125,6.609434127807617,73.69670104980469,,211.52200317382812,77.74994659423828,6.263492107391357
2020-02-10,51.41866683959961,9628.3896484375,,75.1605453491211,106.69550323486328,32.98532485961914,6.5686869621276855,75.16393280029297,,212.2492218017578,78.11922454833984,6.546804904937744
2020-02-11,51.62533187866211,9638.9404296875,,75.23027801513672,107.54000091552734,33.71725082397461,6.601284980773926,75.1694107055664,,206.4015655517578,77.6479263305664,6.6692914962768555
2020-02-12,51.15266799926758,9725.9599609375,,75.65724182128906,108.0,34.179534912109375,6.7153801918029785,75.64170837402344,,209.95794677734375,79.49187469482422,6.785056114196777
2020-02-13,53.599998474121094,9711.9697265625,,75.39618682861328,107.49349975585938,33.986915588378906,6.7235307693481445,75.46186065673828,,212.32891845703125,78.92581176757812,6.741239070892334
